[INFO ] [2021-01-24 00:48:13,289] Pre-condition - Step 01: Enter To 'Email' Textbox at 'Login' Page
[INFO ] [2021-01-24 00:48:14,071] Pre-condition - Step 02: Enter To 'Password' Textbox at 'Login' Page
[INFO ] [2021-01-24 00:48:14,782] Pre-condition - Step 03: Click To 'Log in' Button at 'Login' Page
[INFO ] [2021-01-24 00:48:20,785] Pre-condition - Step 04: Open 'Products' Page
[INFO ] [2021-01-24 00:48:24,138] Create New Customer - Step 01: Click to 'Add new' Button 
[INFO ] [2021-01-24 00:48:25,167] Create New Customer - Step 02: Enter to 'Email' Textbox
[INFO ] [2021-01-24 00:48:25,851] Create New Customer - Step 03: Enter to 'Password' Textbox
[INFO ] [2021-01-24 00:48:26,520] Create New Customer - Step 04: Enter to 'First name' Textbox
[INFO ] [2021-01-24 00:48:27,134] Create New Customer - Step 05: Enter to 'Last name' Textbox
[INFO ] [2021-01-24 00:48:27,841] Create New Customer - Step 06: Click to 'GenderMale' Radio Button
[INFO ] [2021-01-24 00:48:27,954] Create New Customer - Step 07: Enter to 'Date of birth' Textbox
[INFO ] [2021-01-24 00:48:28,615] Create New Customer - Step 08: Enter to 'Company name' Textbox
[INFO ] [2021-01-24 00:48:29,394] Create New Customer - Step 09: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:29,473] Create New Customer - Step 10: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:30,325] Create New Customer - Step 11: Enter to 'Admin comment' Textbox
[INFO ] [2021-01-24 00:48:31,023] Create New Customer - Step 12: Click to 'Save and Continue Edit'
[INFO ] [2021-01-24 00:48:33,641] Create New Customer - Step 13: Verify Success Message is displayed with value 'The new customer has been added successfully.'
[INFO ] [2021-01-24 00:48:33,735]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,735] Create New Customer - Step 14: Verify Infomation Customer Details are displayed correctly
[INFO ] [2021-01-24 00:48:33,782]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,829]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,870]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,908]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,946]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:33,987]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:34,035]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:34,071]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:34,072] Create New Customer - Step 15: Click to 'back to customer list' Link
[INFO ] [2021-01-24 00:48:35,677] Create New Customer - Step 16: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:35,751] Create New Customer - Step 17: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:36,465] Create New Customer - Step 18: Click to 'Search' Button
[INFO ] [2021-01-24 00:48:37,125] Create New Customer - Step 19: Verify Infomation Customer is displayed in table
[INFO ] [2021-01-24 00:48:37,171]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:37,298] Search Customer [Email] - Step 01: Refresh Current Page
[INFO ] [2021-01-24 00:48:38,764] Search Customer [Email] - Step 02: Enter to 'Email' Textbox in 'Search' section
[INFO ] [2021-01-24 00:48:39,393] Search Customer [Email] - Step 03: Click to 'X' Button at 'Customer roles' Textbox
[INFO ] [2021-01-24 00:48:39,488] Search Customer [Email] - Step 04: Select 'Customer roles' Dropdown
[INFO ] [2021-01-24 00:48:40,187] Search Customer [Email] - Step 05: Click to 'Search' Button
[INFO ] [2021-01-24 00:48:40,873] Search Customer [Email] - Step 06: Verify Infomation Customer is displayed in table
[INFO ] [2021-01-24 00:48:40,973]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-01-24 00:48:40,980] Search Customer [FirstName and LastName] - Step 01: Refresh Current Page
[INFO ] [2021-01-24 00:48:42,498] Search Customer [FirstName and LastName] - Step 02: Enter to 'Firstname' Textbox in 'Search' section
